judgment_id,run,kind,repo,pr_number,pr_url,file,human_line,human_comment,human_url,model_line,model_category,model_severity,model_comment,pipeline_verdict,judge_reason,human_verdict,human_notes,model_verdict,model_confidence,model_reason
claude-code-subagent__opus__junit-team__junit5__5060__unmatched_model__0,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,5060,https://github.com/junit-team/junit5/pull/5060,documentation/src/test/resources/junit-platform.properties,,,,2,question,low,"This switches the whole documentation test suite over to a non-default executor service implementation. Are the `parallel.config.strategy=fixed` / `parallel.config.fixed.parallelism=6` settings below still honored by `ConcurrentHierarchicalTestExecutorService`, and is running the docs tests on the new executor intentional rather than keeping the default and covering the new executor in a dedicated test?",unmatched,,,,unverifiable,high,"Whether ConcurrentHierarchicalTestExecutorService honors the fixed-strategy settings and whether the switch is intentional depend on the executor implementation and intent, neither of which the chunk shows."
claude-code-subagent__opus__junit-team__junit5__5060__unmatched_model__14,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,5060,https://github.com/junit-team/junit5/pull/5060,junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/ConcurrentHierarchicalTestExecutorService.java,,,,279,bug,medium,"If the thread is interrupted while blocking for the resource lock, the interrupt flag is restored but the task is silently never executed; the caller in `executeEntry` then completes the entry's future normally in its finally block, so the task is reported as finished although it never ran. Consider completing the future exceptionally (or rethrowing) on interruption.",unmatched,,,,founded,high,"The chunk visibly shows executeTask swallowing InterruptedException without running the task (lines 279-281) while executeEntry's finally block completes the future normally (line 263), so an interrupted task is reported as finished without ever running."
claude-code-subagent__opus__junit-team__junit5__5060__unmatched_model__18,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,5060,https://github.com/junit-team/junit5/pull/5060,platform-tests/src/test/java/org/junit/platform/engine/support/hierarchical/CompositeLockTests.java,,,,43,design,low,The boolean returned by `tryAcquire()` is discarded and the warning suppressed instead. Asserting that it returned `true` here would both strengthen the test and let you drop the `ResultOfMethodCallIgnored` suppression.,unmatched,,,,founded,high,"Line 43 visibly discards tryAcquire()'s return value under the ResultOfMethodCallIgnored suppression on line 35, so asserting the result is a real, applicable improvement."
claude-code-subagent__opus__junit-team__junit5__5060__unmatched_model__2,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,5060,https://github.com/junit-team/junit5/pull/5060,junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/Constants.java,,,,217,style,low,"Wording is off: ""configure the fully qualified class name {@link HierarchicalTestExecutorService} implementation to use"" is missing a preposition. Suggest ""configure the fully qualified class name of the {@link HierarchicalTestExecutorService} implementation to use"".",unmatched,,,,founded,high,"Lines 217-218 visibly read 'the fully qualified class name {@link ...} implementation to use', which is missing 'of the' exactly as the comment says."
claude-code-subagent__opus__junit-team__junit5__5060__unmatched_model__24,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,5060,https://github.com/junit-team/junit5/pull/5060,platform-tooling-support-tests/src/test/resources/junit-platform.properties,,,,2,question,medium,"The other parallel-execution settings in this file use the `junit.jupiter.execution.parallel.config.` prefix. Is `junit.jupiter.execution.parallel.executor` a recognized configuration parameter name? An unrecognized key would be silently ignored, leaving the executor service at its default and making this a no-op.",unmatched,,,,unverifiable,low,"Whether junit.jupiter.execution.parallel.executor is a recognized parameter cannot be determined from this properties file, and the stated premise about the config. prefix is only partially accurate for the visible keys."
claude-code-subagent__opus__junit-team__junit5__5060__unmatched_model__4,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,5060,https://github.com/junit-team/junit5/pull/5060,junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/config/CachingJupiterConfiguration.java,,,,74,question,low,"Every other override in this class memoizes through `cache.computeIfAbsent(...)`, while this one delegates straight through. That is presumably deliberate (each call must hand back a fresh executor service rather than a shared one), but since it is the odd one out in a class named `CachingJupiterConfiguration`, a short comment stating why it is not cached would prevent someone from ""fixing"" it later.",unmatched,,,,unfounded,low,"The claim that every other override memoizes is contradicted by the visible getRawConfigurationParameter override (lines 62-65), which also delegates without caching, though the executor-service method being uncached is itself real."
claude-code-subagent__opus__junit-team__junit5__5135__unmatched_model__3,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,5135,https://github.com/junit-team/junit5/pull/5135,platform-tests/src/test/java/org/junit/platform/engine/support/hierarchical/WorkerThreadPoolHierarchicalTestExecutorServiceTests.java,,,,724,style,low,"After the swap it is `child3` that counts down the `child2Started` latch, so the latch name no longer describes what it signals. Renaming it (e.g. to `child3Started`) would keep the test readable.",unmatched,,,,founded,high,"Line 724 visibly has child3 counting down the child2Started latch after the swap, so the latch name no longer describes its signaler."
claude-code-subagent__opus__junit-team__junit5__5379__unmatched_model__5,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,5379,https://github.com/junit-team/junit5/pull/5379,junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/JupiterTestEngine.java,,,,18,question,low,"Does this import shadow a `Constants` type declared in this file's own package, `org.junit.jupiter.engine`? If so, an unqualified `Constants` in this file silently resolves to the imported one, and spelling out `org.junit.jupiter.api.Constants` at the use sites would make which class is meant unambiguous.",unmatched,,,,unverifiable,high,The chunk shows only the imports; whether a Constants type exists in org.junit.jupiter.engine or how unqualified references resolve in this file cannot be checked from these lines.
claude-code-subagent__opus__junit-team__junit5__5379__unmatched_model__6,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,5379,https://github.com/junit-team/junit5/pull/5379,junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/config/CachingJupiterConfiguration.java,,,,124,style,low,The neighbouring methods pass the cache key as a statically imported constant (e.g. DEFAULT_TEST_INSTANCE_LIFECYCLE_PROPERTY_NAME); this one qualifies it as Constants.DEACTIVATE_CONDITIONS_PATTERN_PROPERTY_NAME. A static import here would keep the file consistent and also let the call fit on a single line again.,unmatched,,,,founded,low,"The inconsistency is visible (neighbouring methods use bare statically imported constants while line 124 qualifies with Constants.), though whether a static import is possible without a name collision is not shown in the chunk."
claude-code-subagent__opus__junit-team__junit5__5424__unmatched_model__1,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,5424,https://github.com/junit-team/junit5/pull/5424,junit-jupiter-api/src/main/java/org/junit/jupiter/api/io/DefaultDeletionResult.java,,,,26,style,low,This canonical constructor re-declares the full parameter list only to assign `rootDir` unchanged. A compact canonical constructor expresses the same defensive copy without the boilerplate: `DefaultDeletionResult { failures = List.copyOf(failures); }`.,unmatched,,,,founded,high,"The canonical constructor at lines 26-29 visibly re-declares the parameter list only to assign rootDir unchanged, and the proposed compact constructor is an equivalent simplification."
claude-code-subagent__opus__junit-team__junit5__5424__unmatched_model__10,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,5424,https://github.com/junit-team/junit5/pull/5424,jupiter-tests/src/test/java/org/junit/jupiter/api/io/TempDirDeletionStrategyTests.java,,,,44,bug,medium,"`assertThat(result.isSuccessful());` asserts nothing - it creates an assertion object and discards it, so this line passes regardless of the result. It should be `assertThat(result.isSuccessful()).isTrue();` (or `assertThat(result).matches(DeletionResult::isSuccessful)`).",unmatched,,,,founded,high,"Line 44 visibly calls assertThat(result.isSuccessful()) with no terminal assertion, which under AssertJ (imported at line 13) verifies nothing, so the flagged defect is present."
claude-code-subagent__opus__junit-team__junit5__5424__unmatched_model__14,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,5424,https://github.com/junit-team/junit5/pull/5424,jupiter-tests/src/test/java/org/junit/jupiter/engine/extension/TempDirectoryTests.java,,,,1297,style,low,"`TEMP_DIR` re-declares a constant with the same name and value as the one inherited from `UndeletableTestCase`, and `tempDir` / `reportTempDir` shadow/override the inherited members. This hiding makes it hard to tell which temp directory a given test reports; either drop the duplicates or stop extending the superclass.",unmatched,,,,founded,high,"Line 1297 visibly re-declares TEMP_DIR with the same name and value as line 1270, and the tempDir field and reportTempDir method visibly duplicate the inherited members, so the described hiding is present."
claude-code-subagent__opus__junit-team__junit5__5424__unmatched_model__5,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,5424,https://github.com/junit-team/junit5/pull/5424,junit-jupiter-api/src/main/java/org/junit/jupiter/api/io/TempDirDeletionStrategy.java,,,,81,bug,medium,"`IgnoreFailures` only ignores failures that the delegate reports inside the returned `DeletionResult`. An `IOException` thrown by `delegate.delete(...)` propagates out of this method unchanged, so deletion failures surfaced as exceptions (the declared `@throws IOException in case of general failures`) are not ignored. If the intent is ""never fail the test because of cleanup"", the delegate call should be wrapped in a try/catch and logged like the unsuccessful-result case.",unmatched,,,,founded,high,"The delegate call on line 81 is not wrapped in try/catch and the method declares throws IOException, so an exception thrown by the delegate visibly propagates instead of being ignored."
claude-code-subagent__opus__junit-team__junit5__5424__unmatched_model__7,runs/subset30/claude-opus/,unmatched_model,junit-team/junit5,5424,https://github.com/junit-team/junit5/pull/5424,junit-jupiter-api/src/main/java/org/junit/jupiter/api/io/TempDirDeletionStrategy.java,,,,189,style,low,"The anonymous `SimpleFileVisitor` already captures `fileOperations` from the enclosing method, so taking it as a parameter here (and shadowing the captured variable) adds noise at every call site. Dropping the parameter would make the visitor read more cleanly.",unmatched,,,,founded,high,"The anonymous visitor could capture the enclosing method's fileOperations (line 214 shows it already does), so the parameter on line 189 visibly shadows the captured variable and every call site just passes it back in."
claude-code-subagent__opus__mockito__mockito__2603__unmatched_model__1,runs/subset30/claude-opus/,unmatched_model,mockito/mockito,2603,https://github.com/mockito/mockito/pull/2603,subprojects/junit-jupiter/src/test/java/org/mockitousage/InjectMocksTest.java,,,,35,design,medium,"The verification that Mockito passed a mock into the constructor relies on `assert`, which is a no-op unless assertions are enabled (`-ea`). If they are ever off, this constructor silently accepts `null` and the test still passes. Use an explicit check (e.g. `Objects.requireNonNull` or an AssertJ assertion in the test) instead.",unmatched,,,,founded,high,"The assert on line 35 is the only null check, and since the constructor hardcodes new instances with identifier 42 the test's assertions would still pass if assertions were disabled and null were injected."
claude-code-subagent__opus__mockito__mockito__2650__unmatched_model__1,runs/subset30/claude-opus/,unmatched_model,mockito/mockito,2650,https://github.com/mockito/mockito/pull/2650,src/main/java/org/mockito/Mock.java,,,,117,design,medium,"This attribute overlaps with the existing `lenient()` attribute above, and the javadoc does not say what happens when both are given (e.g. `@Mock(lenient = true, strictness = Strictness.STRICT_STUBS)`). Either document the precedence or reject the conflicting combination; ideally `lenient()` is deprecated in favor of `strictness()`.",unmatched,,,,founded,high,"Both lenient() and the new strictness() attribute are visible in the chunk and the added javadoc says nothing about how the two interact, so the documentation gap the comment describes is really present."
claude-code-subagent__opus__mockito__mockito__2650__unmatched_model__17,runs/subset30/claude-opus/,unmatched_model,mockito/mockito,2650,https://github.com/mockito/mockito/pull/2650,src/test/java/org/mockitousage/strictness/StrictnessWithSettingsTest.java,,,,36,design,low,"mock_is_lenient covers three separate expectations (lenient mock passes, default mock throws, explicitly strict mock throws). Consider one test per expectation so a regression names itself.",unmatched,,,,founded,high,"The single test visibly asserts three separate expectations (lenient mock passes, regular mock throws, strict mock throws), so the proposed split really would apply."
claude-code-subagent__opus__mockito__mockito__2650__unmatched_model__4,runs/subset30/claude-opus/,unmatched_model,mockito/mockito,2650,https://github.com/mockito/mockito/pull/2650,src/main/java/org/mockito/Mockito.java,,,,108,bug,low,"The anchor is wrong: this entry for section 52 links to `#51`, so the table of contents jumps to the previous section. Should be `href=""#52""`.",unmatched,,,,founded,high,"Line 108's entry for section 52 visibly links to href=""#51"", the same anchor as the preceding entry, instead of #52."
claude-code-subagent__opus__mockito__mockito__2659__unmatched_model__0,runs/subset30/claude-opus/,unmatched_model,mockito/mockito,2659,https://github.com/mockito/mockito/pull/2659,src/main/java/org/mockito/Mock.java,,,,16,question,medium,The org.mockito.quality.Strictness import is dropped here while the example below now refers to Mock.Strictness. Are all remaining references to Strictness in this file (including {@link} tags in the attribute javadoc) either qualified or pointing at the nested enum? An unresolved {@link} will fail the javadoc build.,unmatched,,,,unverifiable,high,"The chunk covers only lines 3-55, so whether remaining Strictness references and {@link} tags elsewhere in the file resolve after the import removal cannot be checked from what is shown."
claude-code-subagent__opus__mockito__mockito__2659__unmatched_model__2,runs/subset30/claude-opus/,unmatched_model,mockito/mockito,2659,https://github.com/mockito/mockito/pull/2659,src/main/java/org/mockito/Mock.java,,,,127,design,low,"Naming the nested enum Strictness shadows org.mockito.quality.Strictness inside this file, which is why every reference below has to be fully qualified. A name such as MockStrictness would keep both usable unqualified.",unmatched,,,,founded,high,"The nested enum is visibly named Strictness and every reference to org.mockito.quality.Strictness in the chunk is fully qualified, which the shadowing name forces; a different name would avoid that."
claude-code-subagent__opus__mockito__mockito__2659__unmatched_model__4,runs/subset30/claude-opus/,unmatched_model,mockito/mockito,2659,https://github.com/mockito/mockito/pull/2659,src/main/java/org/mockito/internal/configuration/MockAnnotationProcessor.java,,,,52,question,medium,"If a field carries both the deprecated lenient() and an explicit strictness(), lenient() is applied first and then silently overwritten here. Should that combination be rejected with a clear misuse error instead of picking a winner quietly?",unmatched,,,,founded,low,"The code visibly applies lenient() first and then strictness() with no check rejecting the combination, though whether the later strictness call actually overrides lenient depends on MockSettings semantics not shown here."
claude-code-subagent__opus__mockito__mockito__2807__unmatched_model__15,runs/subset30/claude-opus/,unmatched_model,mockito/mockito,2807,https://github.com/mockito/mockito/pull/2807,src/test/java/org/mockito/internal/invocation/MatcherApplicationStrategyTest.java,,,,230,style,low,"The test name says ""MatchesAny"" but the matcher under test is an `InstanceOf.VarArgAware`, and the local variable is also called `any`. Naming both after the actual matcher would make the scenario easier to read.",unmatched,,,,founded,high,"The test name contains ""MatchesAny"" and the variable is named any while the matcher under test is visibly an InstanceOf.VarArgAware, so the naming mismatch the comment describes is present."
claude-code-subagent__opus__mockito__mockito__2807__unmatched_model__4,runs/subset30/claude-opus/,unmatched_model,mockito/mockito,2807,https://github.com/mockito/mockito/pull/2807,src/main/java/org/mockito/ArgumentMatchers.java,,,,786,style,low,@see should point at the matching overload isNull(Class) rather than the no-arg isNull().,unmatched,,,,founded,high,Line 786's @see on isNotNull(Class) visibly points at the no-arg #isNull() even though the matching isNull(Class) overload exists at line 713.
