judgment_id,arm,file,model_line,human_verdict,human_notes
anthropic__claude-sonnet-5__junit-team__junit5__5042__unmatched_model__8,sonnet,platform-tooling-support-tests/src/test/java/platform/tooling/support/tests/Projects.java,24,,
claude-code-subagent__opus__junit-team__junit5__5042__unmatched_model__17,opus,platform-tooling-support-tests/projects/junit-start/compact/JUnitRunClass.java,18,,
claude-code-subagent__opus__checkstyle__checkstyle__20600__unmatched_model__17,opus,src/test/resources/com/puppycrawl/tools/checkstyle/checks/multilinecommentleadingasteriskpresence/InputMultilineCommentLeadingAsteriskPresenceCorrect.java,5,,
anthropic__claude-sonnet-5__junit-team__junit5__5060__unmatched_model__6,sonnet,junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/ConcurrentHierarchicalTestExecutorService.java,470,,
anthropic__claude-sonnet-5__junit-team__junit5__5042__unmatched_model__5,sonnet,platform-tooling-support-tests/src/test/java/platform/tooling/support/tests/JUnitStartTests.java,42,,
anthropic__claude-sonnet-5__mockito__mockito__2603__unmatched_model__0,sonnet,subprojects/junit-jupiter/src/test/java/org/mockitousage/InjectMocksTest.java,35,,
claude-code-subagent__opus__mockito__mockito__2807__unmatched_model__9,opus,src/main/java/org/mockito/internal/matchers/InstanceOf.java,54,,
qwen__qwen3-coder-30b-a3b-instruct__checkstyle__checkstyle__20600__unmatched_model__49,qwen,src/test/resources/com/puppycrawl/tools/checkstyle/checks/multilinecommentleadingasteriskpresence/InputMultilineCommentLeadingAsteriskPresenceJavadoc.java,1,,
qwen__qwen3-coder-30b-a3b-instruct__checkstyle__checkstyle__20537__unmatched_model__17,qwen,src/test/resources/com/puppycrawl/tools/checkstyle/checks/coding/unusedlocalvariable/InputUnusedLocalVariableAllowNamedPatternVariables.java,36,,
qwen__qwen3-coder-30b-a3b-instruct__junit-team__junit5__5379__unmatched_model__113,qwen,jupiter-tests/src/test/java/org/junit/jupiter/engine/extension/TimeoutConfigurationTests.java,33,,
qwen__qwen3-coder-30b-a3b-instruct__junit-team__junit5__5042__unmatched_model__31,qwen,platform-tooling-support-tests/projects/jar-describe-module/junit-platform-console.expected.txt,13,,
qwen__qwen3-coder-30b-a3b-instruct__junit-team__junit5__5135__unmatched_model__21,qwen,platform-tests/src/test/java/org/junit/platform/engine/support/hierarchical/WorkerThreadPoolHierarchicalTestExecutorServiceTests.java,524,,
qwen__qwen3-coder-30b-a3b-instruct__checkstyle__checkstyle__21086__unmatched_model__38,qwen,src/site/xdoc/checks/javadoc/writetag.xml,427,,
qwen__qwen3-coder-30b-a3b-instruct__checkstyle__checkstyle__20600__unmatched_model__15,qwen,src/main/resources/com/puppycrawl/tools/checkstyle/checks/messages_es.properties,9,,
qwen__qwen3-coder-30b-a3b-instruct__junit-team__junit5__5379__unmatched_model__129,qwen,platform-tests/src/test/java/org/junit/platform/suite/engine/testsuites/ConfigurationSuite.java,13,,
qwen__qwen3-coder-30b-a3b-instruct__junit-team__junit5__5379__unmatched_model__104,qwen,jupiter-tests/src/test/java/org/junit/jupiter/engine/extension/OrderedMethodTests.java,17,,
qwen__qwen3-coder-30b-a3b-instruct__junit-team__junit5__5379__unmatched_model__75,qwen,junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/extension/MutableExtensionRegistry.java,34,,
qwen__qwen3-coder-30b-a3b-instruct__junit-team__junit5__5060__unmatched_model__23,qwen,junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/CompositeLock.java,51,,
qwen__qwen3-coder-30b-a3b-instruct__junit-team__junit5__5424__unmatched_model__8,qwen,junit-jupiter-api/src/testFixtures/java/org/junit/jupiter/api/io/FailingTempDirDeletionStrategy.java,30,,
qwen__qwen3-coder-30b-a3b-instruct__junit-team__junit5__5424__unmatched_model__23,qwen,junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/extension/TempDirectory.java,217,,
qwen__qwen3-coder-30b-a3b-instruct__checkstyle__checkstyle__20554__unmatched_model__5,qwen,src/xdocs-examples/java/com/puppycrawl/tools/checkstyle/checks/TodoCommentCheckExamplesTest.java,47,,
qwen__qwen3-coder-30b-a3b-instruct__junit-team__junit5__5135__unmatched_model__8,qwen,junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/WorkerThreadPoolHierarchicalTestExecutorService.java,677,,
qwen__qwen3-coder-30b-a3b-instruct__mockito__mockito__2807__unmatched_model__14,qwen,src/main/java/org/mockito/internal/matchers/InstanceOf.java,34,,
qwen__qwen3-coder-30b-a3b-instruct__checkstyle__checkstyle__20717__unmatched_model__4,qwen,src/test/java/com/puppycrawl/tools/checkstyle/checks/design/InnerTypeLastCheckTest.java,163,,
qwen__qwen3-coder-30b-a3b-instruct__mockito__mockito__2650__unmatched_model__18,qwen,src/test/java/org/mockitousage/strictness/StrictnessMockAnnotationTest.java,31,,
qwen__qwen3-coder-30b-a3b-instruct__junit-team__junit5__5042__unmatched_model__17,qwen,junit-platform-commons/src/main/java/org/junit/platform/commons/util/ModuleUtils.java,261,,
qwen__qwen3-coder-30b-a3b-instruct__checkstyle__checkstyle__20351__unmatched_model__16,qwen,src/test/resources/com/puppycrawl/tools/checkstyle/checks/javadoc/javadoctype/InputJavadocTypeRecordParamDescriptionWithAngularTags.java,66,,
qwen__qwen3-coder-30b-a3b-instruct__junit-team__junit5__5379__unmatched_model__36,qwen,junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/Constants.java,565,,
qwen__qwen3-coder-30b-a3b-instruct__mockito__mockito__2807__unmatched_model__21,qwen,src/main/java/org/mockito/internal/matchers/Null.java,26,,
qwen__qwen3-coder-30b-a3b-instruct__checkstyle__checkstyle__21086__unmatched_model__22,qwen,src/main/resources/com/puppycrawl/tools/checkstyle/meta/checks/javadoc/WriteTagCheck.xml,41,,
qwen__qwen3-coder-30b-a3b-instruct__junit-team__junit5__5424__unmatched_model__58,qwen,jupiter-tests/src/test/java/org/junit/jupiter/engine/extension/TempDirectoryTests.java,1295,,
qwen__qwen3-coder-30b-a3b-instruct__junit-team__junit5__5424__unmatched_model__42,qwen,jupiter-tests/src/test/java/org/junit/jupiter/engine/extension/CloseablePathTests.java,222,,
qwen__qwen3-coder-30b-a3b-instruct__junit-team__junit5__5379__unmatched_model__28,qwen,junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/Constants.java,463,,
